conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.77E+18,Wed Mar 13 14:23:00 +0000 2024,0,Kl cm 2-3 klmpk yg brsuara bisa jd itu hnya bntuk kkcewaan yg kalah . Tapi ini bnyk klmpok baik dr akdmisi prnwirwan mahasiswa dll dibrbgai daerah smua brsuara bhkan trun ke jln mnolak kcrangan pemilu 2024. Lalu pndkung oke gas ngm ini hnya hoax. Hey mobil tinja..lo buta!,1.77E+18,,,in,,0,0,0,https://x.com/hanapaulina/status/1767919291998036421,214757834,hanapaulina
1.77E+18,Wed Mar 13 14:15:02 +0000 2024,0,JANGAN TERPROVOKASI WASPADA HOAX DAN JANGAN TERPROVOKASI. MARI KITA TUNGGU HASIL RESMI DARI KPU https://t.co/QlPxWouaBo,1.77E+18,https://pbs.twimg.com/media/GIjnZzVXoAERdKi.jpg,,in,"Tangerang, Banten",0,0,0,https://x.com/makmur_o/status/1767917287284121812,1.57E+18,makmur_o
1.77E+18,Wed Mar 13 13:25:51 +0000 2024,0,@Dyananjani89 @PraEquilibrium @Dennysiregar7 @ganjarpranowo Masih percaya hasil perhitungan suara KPU? Kalau wasit sdh 'bermain' bgmn paslon lain bs menang? Film dirty vote yg dirilis sblm pemungutan suara indikasi kecurangan pemilu disampaikan dg jelas. Jika film tsb dianggap hoax sampai skrg gak ada yg bs bantah dg data2 valid toh? https://t.co/DVUYOM1DPM,1.77E+18,https://pbs.twimg.com/media/GIjcIMkbYAAw3Hr.jpg,Dyananjani89,in,Jakarta,2,0,0,https://x.com/riza_ajir/status/1767904908911824991,78954109,riza_ajir
1.77E+18,Wed Mar 13 13:23:21 +0000 2024,0,@PraEquilibrium @Dyananjani89 @Dennysiregar7 @ganjarpranowo Masih percaya hasil perhitungan suara KPU? Kalau wasit sdh 'bermain' bgmn paslon lain bs menang? Film dirty vote yg dirilis sblm pemungutan suara indikasi kecurangan pemilu disampaikan dg jelas. Jika film tsb dianggap hoax sampai skrg gak ada yg bs bantah dg data2 valid toh? https://t.co/fHauo7bNmb,1.77E+18,https://pbs.twimg.com/media/GIjbjgFaMAArZW_.jpg,PraEquilibrium,in,Jakarta,1,0,0,https://x.com/riza_ajir/status/1767904282622447688,78954109,riza_ajir
1.77E+18,Wed Mar 13 13:14:56 +0000 2024,0,@hadifianwidjaja @datuakrajoangek Tapi kecurangan penguasa gak sebrutal pemilu 2024. Ayolah jgn jadi buta dg membiarkan kejahatan terjadi. Film dirty vote yg dirilis sblm tgl 14 feb indikasi kecurangan pemilu disampaikan dg jelas. Jika film tsb dianggap hoax sampai skrg gak ada yg bs bantah dg data2 valid toh? https://t.co/WdosBtZzIP,1.77E+18,https://pbs.twimg.com/ext_tw_video_thumb/1767902028628713472/pu/img/DEwqF7jw9DMu0sXZ.jpg,hadifianwidjaja,in,Jakarta,0,1,0,https://x.com/riza_ajir/status/1767902163068740046,78954109,riza_ajir
1.77E+18,Wed Mar 13 12:34:38 +0000 2024,0,@NenkMonica Kasian para si kalah membuat hoax ini itu... Ngk siap kalah ya dr awal menyerah goblok.. Lu anggap 58% itu hoax ayo kita buktikan lagi pemilu ulang siapa akan menang.. Rakyat tidak bodoh wan angin wan janggar,1.77E+18,,NenkMonica,in,,0,0,0,https://x.com/MGhazali73612/status/1767892021103181911,1.70E+18,MGhazali73612
1.77E+18,Wed Mar 13 11:24:31 +0000 2024,0,Jangan mudah terprovokasi hoax pemilu 2024 https://t.co/bCBFaFkFkR,1.77E+18,https://pbs.twimg.com/media/GIjAYAAbwAAQoDJ.jpg,,in,"Denpasar Selatan, Indonesia",0,0,0,https://x.com/diaharmayanti1/status/1767874375414596070,564578290,diaharmayanti1
1.77E+18,Wed Mar 13 06:15:33 +0000 2024,2,@Dyananjani89 @Dennysiregar7 Gada GUNANYA Ibadah puasa buat mrk yg CAPRESNYA MENANG tp curang. Spt buta krn membiarkan kejahatan terjadi. Film dirty vote dirilis sblm tgl 14 feb indikasi kecurangan pemilu disampaikan dg jelas. Jk film tsb dianggap hoax sampai skrg gak ada yg bisa bantah dg data2 valid toh? https://t.co/zgyPJLzUNI,1.77E+18,https://pbs.twimg.com/ext_tw_video_thumb/1767796395728355329/pu/img/EObVFvMyC2Tmtt-R.jpg,Dyananjani89,in,Jakarta,1,1,0,https://x.com/riza_ajir/status/1767796622627619040,78954109,riza_ajir
1.77E+18,Wed Mar 13 05:57:48 +0000 2024,0,@adhie_tholha Kalau kecurangan sebelum pemungutan suara emangnya bisa dihitung https://t.co/ma2IuyrFcM ? Seperti dirilis film dirty vote sebelum tgl 14 feb indikasi kecurangan pemilu disampaikan dg jelas. Jika film tsb dianggap hoax sampai sekarang gak ada yg bisa bantah dg data2 valid. https://t.co/gexE60OTJL,1.77E+18,https://pbs.twimg.com/ext_tw_video_thumb/1767792095723687936/pu/img/B2AGvPTwUH1x7z-g.jpg,adhie_tholha,in,Jakarta,0,0,0,https://x.com/riza_ajir/status/1767792153634488603,78954109,riza_ajir
1.77E+18,Wed Mar 13 05:57:09 +0000 2024,0,@satrio_aji_ Kalau kecurangan sebelum pemungutan suara emangnya bisa dihitung https://t.co/ma2IuyrFcM ? Seperti dirilis film dirty vote sebelum tgl 14 feb indikasi kecurangan pemilu disampaikan dg jelas. Jika film tsb dianggap hoax sampai sekarang gak ada yg bisa bantah dg data2 valid. https://t.co/7ya1itBbrS,1.77E+18,https://pbs.twimg.com/ext_tw_video_thumb/1767791922280878080/pu/img/2ZMGnoWHlkLCtoio.jpg,satrio_aji_,in,Jakarta,0,0,0,https://x.com/riza_ajir/status/1767791992782966872,78954109,riza_ajir
